,equity
2025-06-02 09:30:00-04:00,1000000.0
2025-06-02 09:35:00-04:00,1000000.0
2025-06-02 09:40:00-04:00,1000000.0
2025-06-02 09:45:00-04:00,1000000.0
2025-06-02 09:50:00-04:00,1000000.0
2025-06-02 09:55:00-04:00,1000000.0
2025-06-02 10:00:00-04:00,1000000.0
2025-06-02 10:05:00-04:00,1000000.0
2025-06-02 10:10:00-04:00,1000000.0
2025-06-02 10:15:00-04:00,1000000.0
2025-06-02 10:20:00-04:00,1000000.0
2025-06-02 10:25:00-04:00,1000000.0
2025-06-02 10:30:00-04:00,1000000.0
2025-06-02 10:35:00-04:00,1000000.0
2025-06-02 10:40:00-04:00,1000000.0
2025-06-02 10:45:00-04:00,1000000.0
2025-06-02 10:50:00-04:00,1000000.0
2025-06-02 10:55:00-04:00,1000000.0
2025-06-02 11:00:00-04:00,1000000.0
2025-06-02 11:05:00-04:00,1000000.0
2025-06-02 11:10:00-04:00,1000000.0
2025-06-02 11:15:00-04:00,1000000.0
2025-06-02 11:20:00-04:00,1000000.0
2025-06-02 11:25:00-04:00,1000000.0
2025-06-02 11:30:00-04:00,1000000.0
2025-06-02 11:35:00-04:00,1000000.0
2025-06-02 11:40:00-04:00,1000000.0
2025-06-02 11:45:00-04:00,1000000.0
2025-06-02 11:50:00-04:00,1000000.0
2025-06-02 11:55:00-04:00,1000000.0
2025-06-02 12:00:00-04:00,1000000.0
2025-06-02 12:05:00-04:00,1000000.0
2025-06-02 12:10:00-04:00,1000000.0
2025-06-02 12:15:00-04:00,1000000.0
2025-06-02 12:20:00-04:00,1000000.0
2025-06-02 12:25:00-04:00,1000000.0
2025-06-02 12:30:00-04:00,1000000.0
2025-06-02 12:35:00-04:00,1000000.0
2025-06-02 12:40:00-04:00,1000000.0
2025-06-02 12:45:00-04:00,1000000.0
2025-06-02 12:50:00-04:00,1000000.0
2025-06-02 12:55:00-04:00,1000000.0
2025-06-02 13:00:00-04:00,1000000.0
2025-06-02 13:05:00-04:00,1000000.0
2025-06-02 13:10:00-04:00,1000000.0
2025-06-02 13:15:00-04:00,1000000.0
2025-06-02 13:20:00-04:00,1000000.0
2025-06-02 13:25:00-04:00,1000000.0
2025-06-02 13:30:00-04:00,1000000.0
2025-06-02 13:35:00-04:00,1000000.0
2025-06-02 13:40:00-04:00,1000000.0
2025-06-02 13:45:00-04:00,1000000.0
2025-06-02 13:50:00-04:00,1000000.0
2025-06-02 13:55:00-04:00,1000000.0
2025-06-02 14:00:00-04:00,1000000.0
2025-06-02 14:05:00-04:00,1000000.0
2025-06-02 14:10:00-04:00,1000000.0
2025-06-02 14:15:00-04:00,1000000.0
2025-06-02 14:20:00-04:00,1000000.0
2025-06-02 14:25:00-04:00,1000000.0
2025-06-02 14:30:00-04:00,1000000.0
2025-06-02 14:35:00-04:00,1000000.0
2025-06-02 14:40:00-04:00,1000000.0
2025-06-02 14:45:00-04:00,1000000.0
2025-06-02 14:50:00-04:00,1000000.0
2025-06-02 14:55:00-04:00,1000000.0
2025-06-02 15:00:00-04:00,1000000.0
2025-06-02 15:05:00-04:00,1000000.0
2025-06-02 15:10:00-04:00,1000000.0
2025-06-02 15:15:00-04:00,1000000.0
2025-06-02 15:20:00-04:00,1000000.0
2025-06-02 15:25:00-04:00,1000000.0
2025-06-02 15:30:00-04:00,1000000.0
2025-06-02 15:35:00-04:00,1000000.0
2025-06-02 15:40:00-04:00,1000000.0
2025-06-02 15:45:00-04:00,1000000.0
2025-06-02 15:50:00-04:00,1000000.0
2025-06-02 15:55:00-04:00,1000000.0
2025-06-02 16:00:00-04:00,1000000.0
2025-06-03 09:30:00-04:00,1000000.0
2025-06-03 09:35:00-04:00,1000000.0
2025-06-03 09:40:00-04:00,1000000.0
2025-06-03 09:45:00-04:00,1000000.0
2025-06-03 09:50:00-04:00,1000000.0
2025-06-03 09:55:00-04:00,1000000.0
2025-06-03 10:00:00-04:00,1000000.0
2025-06-03 10:05:00-04:00,999714.2016433607
2025-06-03 10:10:00-04:00,998750.5158960283
2025-06-03 10:15:00-04:00,1000119.061868502
2025-06-03 10:20:00-04:00,1000454.3478993087
2025-06-03 10:25:00-04:00,1002295.2427017662
2025-06-03 10:30:00-04:00,1001283.0707177396
2025-06-03 10:35:00-04:00,1000384.7558539958
2025-06-03 10:40:00-04:00,1001719.5682346355
2025-06-03 10:45:00-04:00,1002504.0045569227
2025-06-03 10:50:00-04:00,1001171.2956167535
2025-06-03 10:55:00-04:00,1001344.2061588226
2025-06-03 11:00:00-04:00,1002415.4279944391
2025-06-03 11:05:00-04:00,1002455.4933288598
2025-06-03 11:10:00-04:00,1004011.72033924
2025-06-03 11:15:00-04:00,1003455.0196786929
2025-06-03 11:20:00-04:00,1004656.9797112924
2025-06-03 11:25:00-04:00,1004279.5213354003
2025-06-03 11:30:00-04:00,1004258.4333777588
2025-06-03 11:35:00-04:00,1006708.7505199639
2025-06-03 11:40:00-04:00,1005996.006113265
2025-06-03 11:45:00-04:00,1008279.7408857916
2025-06-03 11:50:00-04:00,1007505.8431870312
2025-06-03 11:55:00-04:00,1008513.8011497259
2025-06-03 12:00:00-04:00,1007191.6415436706
2025-06-03 12:05:00-04:00,1006677.5685638651
2025-06-03 12:10:00-04:00,1006677.5685638651
2025-06-03 12:15:00-04:00,1006677.5685638651
2025-06-03 12:20:00-04:00,1006677.5685638651
2025-06-03 12:25:00-04:00,1006677.5685638651
2025-06-03 12:30:00-04:00,1006677.5685638651
2025-06-03 12:35:00-04:00,1006677.5685638651
2025-06-03 12:40:00-04:00,1006677.5685638651
2025-06-03 12:45:00-04:00,1006677.5685638651
2025-06-03 12:50:00-04:00,1006677.5685638651
2025-06-03 12:55:00-04:00,1006677.5685638651
2025-06-03 13:00:00-04:00,1006677.5685638651
2025-06-03 13:05:00-04:00,1006677.5685638651
2025-06-03 13:10:00-04:00,1006677.5685638651
2025-06-03 13:15:00-04:00,1006677.5685638651
2025-06-03 13:20:00-04:00,1006677.5685638651
2025-06-03 13:25:00-04:00,1006677.5685638651
2025-06-03 13:30:00-04:00,1006677.5685638651
2025-06-03 13:35:00-04:00,1006677.5685638651
2025-06-03 13:40:00-04:00,1006677.5685638651
2025-06-03 13:45:00-04:00,1006677.5685638651
2025-06-03 13:50:00-04:00,1006677.5685638651
2025-06-03 13:55:00-04:00,1006677.5685638651
2025-06-03 14:00:00-04:00,1006677.5685638651
2025-06-03 14:05:00-04:00,1003590.1962707192
2025-06-03 14:10:00-04:00,998300.8101642099
2025-06-03 14:15:00-04:00,999495.5721219806
2025-06-03 14:20:00-04:00,1002968.725297818
2025-06-03 14:25:00-04:00,1002567.169768434
2025-06-03 14:30:00-04:00,1006722.2287471769
2025-06-03 14:35:00-04:00,1006905.5475927759
2025-06-03 14:40:00-04:00,1010277.6403693673
